X,Y
353600,7638000
353800,7638000
354000,7638000
354200,7638000
354400,7638000
354600,7638000
354800,7638000
355000,7638000
355200,7638000
355400,7638000
355600,7638000
355800,7638000
356000,7638000
356200,7638000
356400,7638000
356600,7638000
356800,7638000
357000,7638000
357200,7638000
357400,7638000
357600,7638000
357800,7638000
358000,7638000
358200,7638000
358400,7638000
358600,7638000
358800,7638000
359000,7638000
359200,7638000
359400,7638000
359600,7638000
359800,7638000
360000,7638000
360200,7638000
360400,7638000
360600,7638000
360800,7638000
361000,7638000
361200,7638000
361400,7638000
361600,7638000
361800,7638000
362000,7638000
362200,7638000
362400,7638000
362600,7638000
362800,7638000
363000,7638000
363200,7638000
363400,7638000
363600,7638000
363800,7638000
364000,7638000
364200,7638000
364400,7638000
364600,7638000
364800,7638000
365000,7638000
365200,7638000
365400,7638000
365600,7638000
365800,7638000
366000,7638000
366200,7638000
366400,7638000
366600,7638000
366800,7638000
367000,7638000
367200,7638000
367400,7638000
367600,7638000
367800,7638000
368000,7638000
368200,7638000
368400,7638000
368600,7638000
368800,7638000
369000,7638000
369200,7638000
369400,7638000
369600,7638000
369800,7638000
370000,7638000
370200,7638000
370400,7638000
370600,7638000
370800,7638000
371000,7638000
371200,7638000
371400,7638000
371600,7638000
371800,7638000
372000,7638000
372200,7638000
372400,7638000
372600,7638000
372800,7638000
373000,7638000
373200,7638000
373400,7638000
373600,7638000
373800,7638000
374000,7638000
374200,7638000
342800,7638200
344800,7638200
345000,7638200
345200,7638200
345400,7638200
345600,7638200
345800,7638200
346000,7638200
346200,7638200
346400,7638200
346600,7638200
346800,7638200
347000,7638200
347200,7638200
347400,7638200
347600,7638200
347800,7638200
348000,7638200
348200,7638200
348400,7638200
348600,7638200
348800,7638200
349000,7638200
349200,7638200
349400,7638200
349600,7638200
349800,7638200
350000,7638200
350200,7638200
350400,7638200
350600,7638200
350800,7638200
351000,7638200
351200,7638200
351400,7638200
351600,7638200
351800,7638200
352000,7638200
352200,7638200
352400,7638200
352600,7638200
352800,7638200
353000,7638200
353200,7638200
353400,7638200
353600,7638200
353800,7638200
354000,7638200
354200,7638200
354400,7638200
354600,7638200
354800,7638200
355000,7638200
355200,7638200
355400,7638200
355600,7638200
355800,7638200
356000,7638200
356200,7638200
356400,7638200
356600,7638200
356800,7638200
