x,y,houhold,phouhold
354100,7636500,0.7272727272727273,0.22727272727272727
355300,7636300,12,6
355500,7636300,18.61904761904762,7.285714285714286
355700,7636300,4.380952380952381,1.7142857142857142
356100,7636300,1.6203703703703705,0.2777777777777778
355900,7636300,33.379629629629626,5.722222222222222
356500,7636300,44.054794520547944,19.273972602739725
356300,7636300,3.9452054794520546,1.726027397260274
356700,7636300,64,25
356900,7636300,27,16
357100,7636300,43,10
357300,7636300,63,17
357500,7636300,20,6
358300,7636300,16,5
358500,7636700,0.8653846153846154,0.34615384615384615
358500,7636300,2.5961538461538463,1.0384615384615385
358500,7636900,4.326923076923077,1.7307692307692308
358500,7636500,7.211538461538462,2.8846153846153846
358700,7636300,4.444444444444445,1.7777777777777777
358700,7636700,6.666666666666667,2.6666666666666665
358900,7636700,0.6349206349206349,0.25396825396825395
358900,7636900,1.2698412698412698,0.5079365079365079
358900,7636300,2.857142857142857,1.1428571428571428
358900,7636500,0.6349206349206349,0.25396825396825395
358700,7636500,1.9047619047619047,0.7619047619047619
358700,7636900,0.31746031746031744,0.12698412698412698
359100,7636900,1.2698412698412698,0.5079365079365079
361700,7636300,7.7,3.3
361500,7636300,17.15,7.35
361300,7636300,3.15,1.35
361900,7636300,20,5
362100,7636300,35,9
362300,7636300,39,10
362500,7636300,36,16
362700,7636300,18,8
362900,7636300,44,10
363100,7636300,30,11
363300,7636300,23,6
364100,7636300,1.385135135135135,0.5743243243243243
363900,7636300,27.425675675675677,11.371621621621621
363700,7636300,3.6013513513513513,1.4932432432432432
363900,7636500,3.8783783783783785,1.6081081081081081
363700,7636500,0.831081081081081,0.34459459459459457
364100,7636500,3.8783783783783785,1.6081081081081081
366300,7636500,6.020833333333333,1.4166666666666667
366300,7636300,9.5625,2.25
366100,7636300,1.4166666666666667,0.3333333333333333
366500,7636300,17.28,5.76
366500,7636500,0.72,0.24
366700,7636300,32,11
366900,7636300,26,7
367100,7636300,11,5
367500,7636300,22,9
367900,7636300,0.3,0.1
367700,7636300,11.7,3.9
349100,7636500,4.125,0.825
349100,7636700,10.5,2.1
349300,7636700,0.375,0.075
349500,7636700,10.758620689655173,2.689655172413793
349500,7636500,1.2413793103448276,0.3103448275862069
349700,7636500,0.4155844155844156,0.07792207792207792
349700,7636700,15.584415584415584,2.9220779220779223
350500,7636500,11.741935483870968,1.8064516129032258
350300,7636500,1.2580645161290323,0.1935483870967742
351100,7636500,4.9411764705882355,0.27450980392156865
351300,7636500,31.058823529411764,1.7254901960784315
351500,7636500,40,6
351900,7636500,2.3225806451612905,0.5806451612903226
351700,7636500,9.67741935483871,2.4193548387096775
352500,7637100,1.5,0.5
352300,7636700,1.75,0.5833333333333334
352300,7636500,20.75,6.916666666666667
353100,7636500,3.3703703703703702,1.5555555555555556
352700,7636900,5.537037037037037,2.5555555555555554
353100,7636700,4.092592592592593,1.8888888888888888
353300,7636700,1.2307692307692308,0.6153846153846154
353300,7636500,1.5384615384615385,0.7692307692307693
353700,7636900,6.461538461538462,3.230769230769231
353500,7636900,1.8461538461538463,0.9230769230769231
353700,7636700,0.9230769230769231,0.46153846153846156
355300,7636500,5.1891891891891895,2.27027027027027
355300,7636900,6.918918918918919,3.027027027027027
355100,7636900,1.7297297297297298,0.7567567567567568
355300,7636700,2.1621621621621623,0.9459459459459459
355500,7636500,9.942857142857143,3.3142857142857145
355700,7636500,0.6857142857142857,0.22857142857142856
355500,7636700,1.3714285714285714,0.45714285714285713
355900,7636500,6.9,3.45
356100,7636500,5.1,2.55
356500,7636500,13.901639344262295,2.6065573770491803
356300,7636500,2.098360655737705,0.39344262295081966
356700,7636500,22,10
356900,7636500,39,21
357300,7636700,2.05607476635514,0.37383177570093457
357300,7636500,38.242990654205606,6.953271028037383
357100,7636500,3.7009345794392523,0.6728971962616822
357500,7636700,1.6502463054187193,1.1083743842364533
357500,7636500,61.05911330049261,41.00985221674877
357500,7636900,4.29064039408867,2.8817733990147785
357900,7636700,0.3870967741935484,0.1935483870967742
357700,7636700,11.225806451612904,5.612903225806452
357700,7636500,0.3870967741935484,0.1935483870967742
361300,7636500,12,5
361500,7636500,20.871794871794872,8.538461538461538
361700,7636500,1.1282051282051282,0.46153846153846156
361900,7636500,22,7
362100,7636500,14,3
362300,7636500,18,6
362500,7636500,13.387755102040817,4.183673469387755
362700,7636500,2.6122448979591835,0.8163265306122449
362900,7636500,17,7
363100,7636500,13,4
363300,7636500,18,8
367300,7636500,12,7
367500,7636500,15,8
367700,7636500,25,3
367900,7636500,13,4
368300,7636500,5.240963855421687,1.0481927710843373
368100,7636500,9.759036144578314,1.9518072289156627
368900,7636500,10.378378378378379,5.1891891891891895
368700,7636500,1.6216216216216217,0.8108108108108109
369100,7636500,5.9171597633136095,3.4319526627218937
369100,7636700,42.603550295857985,24.71005917159763
369100,7637500,1.4792899408284024,0.8579881656804734
369500,7636500,1.1764705882352942,0.23529411764705882
369700,7637100,1.1764705882352942,0.23529411764705882
369500,7636700,7.0588235294117645,1.411764705882353
370100,7637700,5.098039215686274,1.0196078431372548
370100,7636700,1.1764705882352942,0.23529411764705882
369300,7636700,1.1764705882352942,0.23529411764705882
369700,7636700,3.1372549019607843,0.6274509803921569
348900,7636700,14.13953488372093,4.4186046511627906
348700,7636700,1.8604651162790697,0.5813953488372093
350700,7636700,22.303030303030305,7.666666666666667
350500,7636700,2.7151515151515153,0.9333333333333333
350300,7636700,6.9818181818181815,2.4
