SP95,x,y,nbStations
1.344,154711.20971706393,6834266.213576588,1
1.449,927722.2092957654,6688432.7921729935,1
1.359,894628.2393326564,6250660.64448818,1
1.339,825549.2111089978,6493159.943784662,1
1.45,656297.7941218034,6423509.603110463,1
1.379,632609.437902703,7098480.418773235,1
1.336,431541.08538439806,6806388.923454524,1
1.529,569697.6733794461,6983889.477285,1
1.301,416133.16886418423,6340487.418150146,1
1.396,607883.565152388,7079935.84543956,1
1.385,653855.5613549091,7103721.3412095,1
1.344,442548.7871684756,6387846.050570336,1
1.335,709741.7380099258,6518456.917967883,1
1.291,451938.3888047009,6920264.380788802,1
1.369,981022.6286877613,6545753.7903154325,1
1.305,603709.3204072901,6465769.173205109,1
1.379,686796.0164821487,6179725.878345575,1
1.334,570945.6962869217,6292603.031694662,1
1.316,526175.7382738286,6697608.039830274,1
1.454,682298.0967531877,6366095.006540746,1
1.349,362914.9171319524,6354135.935288181,1
1.329,466003.2083772059,6870985.488115887,1
1.327,382477.20734822896,6572038.041332559,1
1.33,703692.532679201,7054931.120957576,1
1.301,748766.3383824734,6258675.738508198,1
1.356,891297.9424324775,6295867.29067465,1
1.344,423184.1972813971,6428723.220884177,1
1.389,636005.755750823,7034067.670323358,1
1.295,876666.0126021572,6479488.361129168,1
1.42,371637.458911832,6651537.129627209,1
1.46,868161.5063773793,6504017.32232649,1
1.429,663978.3789717046,6363747.29608555,1
1.407,701870.3244317364,6828652.593273032,1
1.409,812926.3487035786,6324515.45130628,1
1.368,647705.3501391175,6903540.0349593675,1
1.369,404323.4346842611,6658370.777070192,1
1.399,944074.6650078763,6628884.140767011,1
1.54,1173096.5938279666,6180823.212032796,1
1.307,418538.2942268999,6819081.673201099,1
1.305,637012.065685598,6842746.155818197,1
1.379,600506.2350044363,6339915.702052511,1
1.304,697850.8808024694,6161170.854383786,1
1.409,475457.31978714815,6890289.628281318,1
1.299,835349.6249210518,6517870.272966535,1
1.29,432265.2225335973,6570820.139476613,1
1.49,483130.38449914416,6358323.040388022,1
1.354,612037.3354964211,6972146.80820665,1
1.369,796077.7530378379,6351451.8020471595,1
1.295,600207.8629661809,7045025.652694852,1
1.325,659840.6598601439,6913906.974776223,1
1.464,675775.0370212336,6220866.953584406,1
1.37,841398.2317007298,6414094.587382282,1
1.283,917482.0916247778,6264846.991606234,1
1.299,570613.9987315153,6802049.196321775,1
1.339,483723.71549268375,6817092.5716903545,1
1.366,471330.92130914086,6272973.493430439,1
